,pluno,bndno,type5,type4,type3,type2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
644,22004008,22004008,22004,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.728,0.8300000000000001,0.34,0.0,1.062,0.001,0.94,0.0,0.0,0.0,0.0,0.0
13444,22005000,22005000,22005,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4540000000000002,1.572,2.418,0.0,0.486,1.048,0.0,0.0,0.0,0.0,0.001
14309,22005001,22005001,22005,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14543,22005006,22005006,22005,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.258,1.6400000000000001,0.43799999999999994,0.0,0.0,0.0
8069,22007004,22007004,22007,2200,220,22,0.0,0.0,0.0,0.0,0.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9470,22007005,22007005,22007,2200,220,22,3.2119999999999997,0.318,0.0,0.996,0.0,0.0,0.622,0.726,0.003,0.0,0.452,0.663,0.0,0.0,0.5479999999999999,1.12,0.716,0.0,0.0,0.43,0.0,0.0,0.7240000000000001,0.0,0.0,0.0
165,22007008,22007008,22007,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.532,0.0,0.0,0.0
14051,22007011,22007011,22007,2200,220,22,0.0,0.0,0.0,0.0,0.35600000000000004,0.0,0.005,0.27,0.472,0.662,0.0,0.0,0.41,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11391,22007019,22007019,22007,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9236,22007022,22007022,22007,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434,0.0,0.0,0.0,0.0,0.978,0.0,0.0,0.0,0.0
88,22007026,22007026,22007,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.516,0.0,1.82,0.322,1.8940000000000001,1.226,0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2231,22007027,22007027,22007,2200,220,22,4.0600000000000005,0.6679999999999999,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919,22007031,22007031,22007,2200,220,22,0.0,0.0,0.5,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.495,0.495,4.0,0.8,0.64,0.64
14267,22008000,22008000,22008,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12791,22008001,22008001,22008,2200,220,22,0.0,0.0,0.82,1.258,0.858,3.651,0.0,0.009000000000000001,0.008,0.0,0.0,2.2640000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13664,22008007,22008007,22008,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.0
13497,22008009,22008009,22008,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.442,0.784,0.376,0.934,0.0,0.8880000000000001,0.0,1.714,0.0,0.0,0.586,1.588
14080,22008011,22008011,22008,2200,220,22,0.812,0.0,0.754,0.418,0.844,0.376,0.0,0.0,0.43400000000000005,0.952,0.28800000000000003,0.0,0.0,0.0,0.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13863,22008012,22008012,22008,2200,220,22,8.934,0.0,0.758,3.5039999999999996,0.0,0.312,0.47,1.8519999999999999,2.16,0.0,2.39,9.212,2.04,6.340000000000001,5.5600000000000005,0.0,9.186,3.564,3.508,0.0,0.0,0.382,0.0,0.304,0.0,0.0
500,22008017,22008017,22008,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14967,22008019,22008019,22008,2200,220,22,1.4180000000000001,0.504,0.0,5.489,3.184,2.146,4.57,2.36,2.7560000000000002,6.681000000000001,1.725,3.426,2.259,4.1240000000000006,3.471,1.196,0.001,2.354,0.812,0.0,1.54,1.286,0.0,0.604,0.0,0.0
9980,22008020,22008020,22008,2200,220,22,6.553999999999999,0.428,0.0,1.6640000000000001,5.1160000000000005,1.552,1.714,2.08,0.609,1.7680000000000002,0.0,0.41600000000000004,4.726,4.846,3.32,1.7679999999999998,4.08,5.055999999999999,0.0,0.0,0.49,0.0,0.39,0.0,0.0,0.6
8511,22008021,22008021,22008,2200,220,22,1.863,3.64,4.902000000000001,0.9059999999999999,1.3399999999999999,0.55,0.512,4.134,0.497,3.24,0.496,0.0,0.0,5.877999999999999,1.8159999999999998,1.146,0.0,0.0,0.001,0.0,1.002,1.134,0.0,0.0,0.956,1.27
11799,22008022,22008022,22008,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.0
19197,22008029,22008029,22008,2200,220,22,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8088,22010001,22010001,22010,2201,220,22,4.162,0.0,1.07,0.001,0.0,1.1340000000000001,0.508,1.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9346,22010003,22010003,22010,2201,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8079999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14336,22010005,22010005,22010,2201,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9420000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15024,22010022,22010022,22010,2201,220,22,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11446,22010029,22010029,22010,2201,220,22,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14861,22010032,22010032,22010,2201,220,22,0.23600000000000002,0.0,0.0,0.45999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.0,0.0,0.0,0.0,0.0,0.344,0.001,0.0,0.0,0.0,0.0,0.22,1.384
13841,22010033,22010033,22010,2201,220,22,0.0,0.0,0.0,3.54,1.6380000000000001,1.078,2.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10236,22010034,22010034,22010,2201,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5620000000000003,1.1560000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14348,22012000,22012000,22012,2201,220,22,2.162,2.072,6.188000000000001,1.6980000000000002,3.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14851,22012011,22012011,22012,2201,220,22,3.386,1.374,8.996,0.0,1.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19815,22012023,22012023,22012,2201,220,22,0.0,1.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10123,22013004,22013004,22013,2201,220,22,0.0,0.9440000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9841,22013005,22013005,22013,2201,220,22,0.0,0.0,0.0,0.568,0.0,1.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13520,22013007,22013007,22013,2201,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1540000000000001,0.0,0.0,0.0,0.0,0.0,0.522,0.0,0.0,0.0,0.0,0.0,0.0,0.442
12945,22013008,22013008,22013,2201,220,22,16.706,9.932000000000002,5.6240000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1247,22013021,22013021,22013,2201,220,22,0.0,0.0,1.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10952,22013022,22013022,22013,2201,220,22,0.87,1.258,0.992,1.042,2.264,2.38,7.295999999999999,3.178,6.2059999999999995,2.25,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9946,22020000,22020000,22020,2202,220,22,0.0,3.322,3.558,1.915,2.21,0.0,2.3819999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13594,22020001,22020001,22020,2202,220,22,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.0,0.0,0.0,2.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7468,22020002,22020002,22020,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.62200000000001,4.376,0.0,0.0,0.0,0.0,0.0
9104,22020003,22020003,22020,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9340000000000002
13642,22020004,22020004,22020,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0
9187,22020005,22020005,22020,2202,220,22,1.6280000000000001,1.876,1.618,0.0,1.1159999999999999,0.0,0.0,1.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8304,22020006,22020006,22020,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.387999999999998,14.446,7.542000000000001,20.018,4.186,12.34,7.518,12.416,3.446,0.0,0.0,0.0,6.050000000000001,0.0
7539,22020008,22020008,22020,2202,220,22,0.0,0.0,0.0,1.932,0.0,1.574,0.0,0.0,4.252000000000001,1.766,0.0,0.0,3.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8321,22020010,22020010,22020,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,3.994,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,5.0920000000000005,0.0,0.0,0.0
8726,22021002,22021002,22021,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.368,0.0,0.0,2.184,0.0,0.9840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8635,22021003,22021003,22021,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38799999999999996,0.0,2.678,2.138,0.0,0.83,1.4180000000000001,4.024,1.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
