,qty,predict,day
0,0.0,4.726994802251028e-07,147
1,0.0,4.726994802251028e-07,148
2,0.0,4.726994802251028e-07,149
3,0.0,4.726994802251028e-07,150
4,0.0,4.726994802251028e-07,151
5,0.0,1.1571758100625829e-06,152
6,0.0,1.1571758100625829e-06,153
7,0.0,4.726994802251028e-07,154
8,0.0,4.726994802251028e-07,155
9,0.0,4.726994802251028e-07,156
10,0.0,4.726994802251028e-07,157
11,0.0,4.726994802251028e-07,158
12,0.0,1.1571758100625829e-06,159
13,0.0,1.1571758100625829e-06,160
14,0.0,4.726994802251028e-07,161
15,0.0,4.726994802251028e-07,162
16,0.0,4.726994802251028e-07,163
17,0.0,4.726994802251028e-07,164
18,0.0,4.726994802251028e-07,165
19,0.0,1.1571758100625829e-06,166
20,0.0,1.1571758100625829e-06,167
21,0.0,4.726994802251028e-07,168
22,0.0,4.726994802251028e-07,169
23,0.0,4.726994802251028e-07,170
24,0.0,4.726994802251028e-07,171
25,0.0,4.726994802251028e-07,172
26,0.0,1.1571758100625829e-06,173
27,0.0,1.1571758100625829e-06,174
28,0.0,4.726994802251028e-07,175
29,0.0,4.726994802251028e-07,176
30,0.0,4.726994802251028e-07,177
31,0.0,4.726994802251028e-07,178
32,0.0,4.726994802251028e-07,179
33,0.0,1.1571758100625829e-06,180
34,0.7040000000000001,1.1571758100625829e-06,181
35,0.0,4.726994802251028e-07,147
36,0.0,4.726994802251028e-07,148
37,0.0,4.726994802251028e-07,149
38,0.0,4.726994802251028e-07,150
39,0.0,4.726994802251028e-07,151
40,0.0,1.1571758100625829e-06,152
41,0.0,1.1571758100625829e-06,153
42,0.0,4.726994802251028e-07,154
43,0.0,4.726994802251028e-07,155
44,0.0,4.726994802251028e-07,156
45,0.0,4.726994802251028e-07,157
46,0.0,4.726994802251028e-07,158
47,0.0,1.1571758100625829e-06,159
48,0.0,1.1571758100625829e-06,160
49,0.0,4.726994802251028e-07,161
50,0.0,4.726994802251028e-07,162
51,0.0,4.726994802251028e-07,163
52,0.0,4.726994802251028e-07,164
53,0.0,4.726994802251028e-07,165
54,0.0,1.1571758100625829e-06,166
55,0.0,1.1571758100625829e-06,167
56,0.0,4.726994802251028e-07,168
57,0.0,4.726994802251028e-07,169
58,0.0,4.726994802251028e-07,170
59,0.0,4.726994802251028e-07,171
60,0.0,4.726994802251028e-07,172
61,0.0,1.1571758100625829e-06,173
62,0.0,1.1571758100625829e-06,174
63,0.0,4.726994802251028e-07,175
64,0.0,4.726994802251028e-07,176
65,0.0,4.726994802251028e-07,177
66,0.0,4.726994802251028e-07,178
67,0.0,4.726994802251028e-07,179
68,0.0,1.1571758100625829e-06,180
69,0.0,1.1571758100625829e-06,181
70,0.0,4.726994802251028e-07,147
71,0.0,4.726994802251028e-07,148
72,0.0,4.726994802251028e-07,149
73,0.0,4.726994802251028e-07,150
74,0.0,4.726994802251028e-07,151
75,0.0,1.1571758100625829e-06,152
76,0.0,1.1571758100625829e-06,153
77,0.0,4.726994802251028e-07,154
78,0.0,4.726994802251028e-07,155
79,0.0,4.726994802251028e-07,156
80,0.0,4.726994802251028e-07,157
81,0.0,4.726994802251028e-07,158
82,0.0,1.1571758100625829e-06,159
83,0.0,1.1571758100625829e-06,160
84,0.0,4.726994802251028e-07,161
85,0.0,4.726994802251028e-07,162
86,0.0,4.726994802251028e-07,163
87,0.0,4.726994802251028e-07,164
88,0.0,4.726994802251028e-07,165
89,0.0,1.1571758100625829e-06,166
90,0.0,1.1571758100625829e-06,167
91,0.0,4.726994802251028e-07,168
92,0.0,4.726994802251028e-07,169
93,0.0,4.726994802251028e-07,170
94,0.0,4.726994802251028e-07,171
95,0.0,4.726994802251028e-07,172
96,0.0,1.1571758100625829e-06,173
97,0.0,1.1571758100625829e-06,174
98,0.6659999999999999,4.726994802251028e-07,175
99,0.0,0.5613525004773838,176
100,1.12,0.20140045829943964,177
101,0.0,0.5222924937460912,178
102,0.0,0.3758053434343437,179
103,0.0,0.4497600000000001,180
104,0.0,0.2755075217880445,181
105,0.0,4.726994802251028e-07,147
106,0.0,4.726994802251028e-07,148
107,0.0,4.726994802251028e-07,149
108,0.0,4.726994802251028e-07,150
109,0.0,4.726994802251028e-07,151
110,0.0,1.1571758100625829e-06,152
111,0.0,1.1571758100625829e-06,153
112,0.0,4.726994802251028e-07,154
113,0.0,4.726994802251028e-07,155
114,0.0,4.726994802251028e-07,156
115,0.0,4.726994802251028e-07,157
116,0.0,4.726994802251028e-07,158
117,0.0,1.1571758100625829e-06,159
118,0.0,1.1571758100625829e-06,160
119,0.0,4.726994802251028e-07,161
120,0.0,4.726994802251028e-07,162
121,0.0,4.726994802251028e-07,163
122,0.0,4.726994802251028e-07,164
123,0.0,4.726994802251028e-07,165
124,0.0,1.1571758100625829e-06,166
125,0.0,1.1571758100625829e-06,167
126,0.0,4.726994802251028e-07,168
127,0.0,4.726994802251028e-07,169
128,0.0,4.726994802251028e-07,170
129,0.0,4.726994802251028e-07,171
130,0.0,4.726994802251028e-07,172
131,0.0,1.1571758100625829e-06,173
132,0.0,1.1571758100625829e-06,174
133,0.0,4.726994802251028e-07,175
134,0.0,4.726994802251028e-07,176
135,0.0,4.726994802251028e-07,177
136,0.0,4.726994802251028e-07,178
137,0.0,4.726994802251028e-07,179
138,0.0,1.1571758100625829e-06,180
139,0.0,1.1571758100625829e-06,181
140,0.0,4.726994802251028e-07,147
141,0.0,4.726994802251028e-07,148
142,0.618,4.726994802251028e-07,149
143,0.0,0.5020769449218284,150
144,0.0,0.0285204582994395,151
145,0.0,0.45450016797494985,152
146,0.0,0.05086225864528904,153
147,0.0,0.05454094086432437,154
148,0.0,0.040496789319197424,155
149,0.0,1.0280000000000005,156
150,0.0,4.726994802251028e-07,157
151,0.0,4.726994802251028e-07,158
152,0.0,1.1571758100625829e-06,159
153,0.0,1.1571758100625829e-06,160
154,0.0,4.726994802251028e-07,161
155,0.0,4.726994802251028e-07,162
156,0.0,4.726994802251028e-07,163
157,0.0,4.726994802251028e-07,164
158,0.0,4.726994802251028e-07,165
159,0.0,1.1571758100625829e-06,166
160,0.0,1.1571758100625829e-06,167
161,0.0,4.726994802251028e-07,168
162,0.4920000000000001,4.726994802251028e-07,169
163,0.0,0.2566083526077102,170
164,0.0,0.0063201639344269145,171
165,0.0,0.07034027472456206,172
166,0.0,0.09878150392830776,173
167,0.0,0.003581213187923149,174
168,0.0,0.016459562819158502,175
169,0.0,0.6816003448275861,176
170,0.0,4.726994802251028e-07,177
171,0.0,4.726994802251028e-07,178
172,0.0,4.726994802251028e-07,179
173,0.0,1.1571758100625829e-06,180
174,0.0,1.1571758100625829e-06,181
175,0.0,0.08790178562854178,147
176,0.0,0.08790178562854178,148
177,0.0,0.08790178562854178,149
178,0.0,0.08790178562854178,150
179,0.0,0.08790178562854178,151
180,0.0,2.470104871754586e-06,152
181,0.0,2.470104871754586e-06,153
182,0.0,0.08790178562854178,154
183,0.0,0.08790178562854178,155
184,0.0,0.08790178562854178,156
185,0.0,0.08790178562854178,157
186,0.0,0.08790178562854178,158
187,0.0,2.470104871754586e-06,159
188,0.0,2.470104871754586e-06,160
189,0.0,0.08790178562854178,161
190,0.0,0.08790178562854178,162
191,0.0,0.08790178562854178,163
192,0.0,0.08790178562854178,164
193,0.0,0.08790178562854178,165
194,0.0,2.470104871754586e-06,166
195,0.0,2.470104871754586e-06,167
196,0.0,0.08790178562854178,168
197,0.0,0.08790178562854178,169
198,0.0,0.08790178562854178,170
199,0.0,0.08790178562854178,171
200,0.0,0.08790178562854178,172
201,0.0,2.470104871754586e-06,173
202,0.0,2.470104871754586e-06,174
203,0.0,0.08790178562854178,175
204,0.0,0.08790178562854178,176
205,0.0,0.08790178562854178,177
