,0,1,2,3,4,5
2501,3.124,0.244,0.996,0.6280000000000001,1.228,0.406
2511,47.506,142.967,64.38199999999999,53.385999999999996,65.656,56.0
2251,0.44799999999999995,1.354,0.616,392.44,0.42200000000000004,0.0
2200,72.05899999999998,95.88299999999998,103.311,102.71700000000004,76.03700000000003,52.092999999999954
2201,77.768,33.29199999999999,10.943,0.0,0.867,2.0460000000000003
2212,25.03800000000001,278.259,3.6189999999999993,2.02,0.292,0.382
2210,104.31700000000004,70.06899999999997,114.043,111.664,140.028,73.94700000000002
2730,48.628,61.34599999999999,53.78200000000001,108.78599999999999,93.614,106.95499999999998
2219,10.914000000000003,7.292000000000001,3.9460000000000006,0.21400000000000002,0.428,0.187
2311,1722.0579999999998,1715.9339999999997,2444.9259999999995,1833.835,1139.946,1078.654
2217,22.213000000000005,10.642,14.456000000000001,13.232,11.857000000000001,5.507999999999999
2512,39.76399999999999,73.929,128.44600000000003,118.562,140.54700000000003,170.78499999999997
2271,30.490000000000006,4.388000000000001,0.584,0.204,0.0,0.0
2260,45.93000000000001,18.036,42.641999999999996,68.53200000000001,58.568000000000005,47.504
2250,390.86799999999994,30.43099999999999,15.061999999999998,28.207,28.233999999999998,10.265
2313,15.87999999999998,8.019,7.409000000000008,13.707,12.965999999999996,19.651000000000014
2211,42.85999999999999,32.322,27.999999999999996,25.134000000000004,36.178000000000004,24.546000000000003
2283,0.728,0.8780000000000001,0.49,0.7420000000000001,0.332,0.242
2213,17.744999999999997,25.657000000000007,22.363999999999997,6.792,4.388000000000001,4.93
2720,2.9349999999999983,19.099000000000004,1.4769999999999983,215.77700000000007,14.050999999999988,7.0600000000000005
2724,1986.0,1028.0,2042.0,4530.0,530.0,1052.0
2700,1409.1779999999997,8289.469,3820.098000000002,6595.395000000002,8694.187999999998,10397.259999999998
2312,11.899999999999999,3.54,5.806000000000001,4.698,12.372000000000002,6.3260000000000005
2203,85.56699999999998,64.437,53.755,71.47000000000003,63.12000000000001,78.46499999999996
2204,5.946,2.813,1.661,3.173,0.697,5.552
2740,143.11400000000006,2.3989999999999987,2.4699999999999984,1655.9719999999995,4.194,177.896
2741,518.9859999999994,237.69800000000006,189.68200000000007,214.55199999999996,126.52600000000001,515.1439999999997
2270,6.9700000000000015,9.126000000000001,10.272,5.011,3.692,8.676
2263,5.01,6.355999999999999,4.174,10.408,9.443999999999999,11.110000000000001
2262,0.358,0.622,0.622,0.386,0.964,3.41
2202,40.952,22.722,50.06400000000001,118.00400000000002,133.898,25.107000000000003
2515,2.092,0.0,0.0,2.092,2.092,0.0
2510,34.839,15.372,33.087999999999994,52.200000000000024,41.757,53.60800000000001
2218,1.392,3.466,0.756,0.0,0.33,0.436
2216,1.46,0.41,0.5720000000000001,0.0,0.0,2.056
2710,4.778,4.176,5.744,5.645999999999999,5.738000000000001,7.239999999999998
2261,0.48,1.05,2.018,3.226,1.99,4.506
2284,0.254,0.23199999999999998,0.0,0.0,0.0,1.382
2703,0.74,0.0,0.0,0.308,0.003,0.0
2317,0.776,0.0,0.0,0.0,0.0,0.0
2500,3.508,5.016,0.0,1.508,0.0,1.508
2280,1.246,3.0,4.414000000000001,6.513999999999999,2.3080000000000003,9.319999999999999
2513,2.6060000000000003,1.4660000000000002,0.0,1.6860000000000002,0.624,0.8180000000000001
2267,4.142,2.436,4.99,7.367,3.258,14.505999999999997
2742,0.564,0.0,0.0,0.0,0.0,0.0
2314,0.312,0.0,0.544,0.0,23.0,18.45
2290,0.11599999999999999,0.29,0.18,0.38400000000000006,0.068,0.32399999999999995
2207,0.0,0.037,0.189,0.0,0.003,0.0
2315,0.0,1.0,0.0,0.0,0.0,0.0
2287,0.0,1.2340000000000002,0.176,0.08800000000000001,0.0,0.0
2252,0.0,15.0,0.0,0.0,0.0,0.0
2285,0.0,0.0,0.738,2.104,0.0,1.018
2540,0.0,0.0,0.504,0.0,1.1219999999999999,1.59
2282,0.0,0.0,0.46799999999999997,0.546,0.0,0.0
2286,0.0,0.0,0.0,4.0,0.006999999999999999,0.0
2721,0.0,0.0,0.0,0.0,1.574,2.361
