,pluno,bndno,type5,type4,type3,type2,0,1,2,3,4,5
9946,22020000,22020000,22020,2202,220,22,8.795,4.592,0.0,0.0,0.0,0.0
13594,22020001,22020001,22020,2202,220,22,0.001,0.812,2.416,0.0,0.0,0.0
7468,22020002,22020002,22020,2202,220,22,0.0,0.0,0.0,0.0,99.99800000000002,0.0
9104,22020003,22020003,22020,2202,220,22,0.0,0.0,0.0,0.0,0.0,1.9340000000000002
13642,22020004,22020004,22020,2202,220,22,0.0,0.0,0.0,0.0,0.0,2.21
9187,22020005,22020005,22020,2202,220,22,5.122,2.264,0.0,0.0,0.0,0.0
8304,22020006,22020006,22020,2202,220,22,0.0,0.0,18.252,60.218,26.830000000000002,6.050000000000001
7539,22020008,22020008,22020,2202,220,22,1.932,1.574,9.450000000000001,0.0,0.0,0.0
8321,22020010,22020010,22020,2202,220,22,0.0,2.13,5.304,0.0,0.0,7.122
8726,22021002,22021002,22021,2202,220,22,0.0,0.0,1.368,3.168,0.0,0.0
8635,22021003,22021003,22021,2202,220,22,0.0,0.0,5.204,7.7860000000000005,0.0,0.0
10100,22021004,22021004,22021,2202,220,22,0.0,0.0,0.0,1.2819999999999998,0.0,0.0
8195,22021005,22021005,22021,2202,220,22,0.0,0.0,0.0,10.399999999999999,0.0,0.0
8130,22021008,22021008,22021,2202,220,22,0.0,0.0,1.682,0.894,0.0,0.0
14279,22021009,22021009,22021,2202,220,22,0.0,1.916,0.804,0.001,0.0,0.001
7587,22021010,22021010,22021,2202,220,22,0.0,1.3,0.0,1.344,0.0,0.0
10221,22021011,22021011,22021,2202,220,22,0.0,0.46,0.0,0.0,0.0,0.0
14264,22021016,22021016,22021,2202,220,22,0.0,0.0,0.0,0.0,2.252,0.0
125,22021260,22021260,22021,2202,220,22,25.102000000000004,7.272,4.21,4.359,4.188,7.79
841,22021268,22021268,22021,2202,220,22,0.0,0.402,1.374,16.038,0.0,0.0
12332,22021276,22021276,22021,2202,220,22,0.0,0.0,0.0,12.514,0.63,0.0
13082,22030000,22030000,22030,2203,220,22,0.0,0.0,0.0,1.262,0.0,0.0
13598,22030005,22030005,22030,2203,220,22,0.0,0.0,0.0,0.0,0.0,7.24
12884,22030008,22030008,22030,2203,220,22,0.0,0.0,0.0,0.878,2.458,7.158
7804,22030010,22030010,22030,2203,220,22,0.0,0.0,0.0,0.0,0.0,1.025
14205,22030011,22030011,22030,2203,220,22,3.6660000000000004,0.0,0.001,1.642,2.7939999999999996,23.161999999999995
1030,22030050,22030050,22030,2203,220,22,0.966,0.0,0.0,0.0,0.0,0.0
13435,22032000,22032000,22032,2203,220,22,7.388,0.0,0.0,0.0,0.0,0.0
8475,22032012,22032012,22032,2203,220,22,0.0,0.0,0.0,0.0,0.006,0.008
4363,22032015,22032015,22032,2203,220,22,1.5759999999999998,0.0,0.0,0.0,0.0,0.0
13094,22034000,22034000,22034,2203,220,22,8.392,9.517,5.58,7.4460000000000015,0.0,0.0
9731,22034001,22034001,22034,2203,220,22,0.0,0.0,0.0,0.0,0.0,3.136
13481,22034002,22034002,22034,2203,220,22,0.0,0.0,0.0,0.0,0.0,1.766
13597,22034003,22034003,22034,2203,220,22,0.0,0.71,0.0,0.0,0.0,0.0
9226,22034004,22034004,22034,2203,220,22,1.91,2.066,0.9,2.05,0.506,0.0
10099,22034006,22034006,22034,2203,220,22,0.0,0.002,0.0,0.0,0.0,0.0
13860,22034007,22034007,22034,2203,220,22,0.0,0.0,0.0,0.0,1.3780000000000001,0.0
981,22034021,22034021,22034,2203,220,22,0.0,0.0,0.0,0.0,0.0,0.6659999999999999
19251,22034026,22034026,22034,2203,220,22,0.81,13.407999999999998,0.0,12.812,0.0,0.0
13271,22035000,22035000,22035,2203,220,22,0.0,0.0,0.0,2.236,26.039000000000012,3.0599999999999996
1833,22035007,22035007,22035,2203,220,22,0.0,0.0,0.0,0.0,1.858,0.0
1851,22035009,22035009,22035,2203,220,22,0.0,0.0,0.0,0.0,0.0,0.946
10101,22035013,22035013,22035,2203,220,22,0.001,0.0,0.0,0.0,0.0,0.0
12867,22036000,22036000,22036,2203,220,22,60.858,37.636,47.27400000000001,43.14400000000001,27.439,30.297999999999995
15834,22036007,22036007,22036,2203,220,22,0.0,0.0,0.0,0.0,0.642,0.0
4250,22036014,22036014,22036,2203,220,22,0.0,1.0979999999999999,0.0,0.0,0.0,0.0
8502,22040005,22040005,22040,2204,220,22,0.0,0.0,0.0,0.642,0.0,0.0
14024,22040007,22040007,22040,2204,220,22,0.96,0.318,0.0,0.0,0.0,0.0
9065,22040009,22040009,22040,2204,220,22,0.008,0.004,0.001,0.001,0.001,0.0
13624,22040011,22040011,22040,2204,220,22,3.7859999999999996,2.491,1.3780000000000001,1.526,0.0,0.0
10189,22040016,22040016,22040,2204,220,22,1.192,0.0,0.0,0.0,0.0,0.0
8496,22040018,22040018,22040,2204,220,22,0.0,0.0,0.0,1.004,0.0,0.0
4053,22040157,22040157,22040,2204,220,22,0.0,0.0,0.0,0.0,0.0,2.814
4037,22040158,22040158,22040,2204,220,22,0.0,0.0,0.0,0.0,0.0,0.45
14047,22041000,22041000,22041,2204,220,22,0.0,0.0,0.282,0.0,0.0,0.0
8102,22041001,22041001,22041,2204,220,22,0.0,0.0,0.0,0.0,0.696,0.0
14272,22042082,22042082,22042,2204,220,22,0.0,0.0,0.0,0.0,0.0,2.2880000000000003
3960,22071000,22071000,22071,2207,220,22,0.0,0.023000000000000003,0.189,0.0,0.003,0.0
4047,22071001,22071001,22071,2207,220,22,0.0,0.013999999999999999,0.0,0.0,0.0,0.0
9878,22100000,22100000,22100,2210,221,22,0.0,1.634,4.885,5.276,4.442,1.858
7610,22100002,22100002,22100,2210,221,22,0.0,0.0,0.44799999999999995,0.972,0.0,0.001
7373,22100010,22100010,22100,2210,221,22,0.46399999999999997,0.0,2.1759999999999997,4.502,9.002,6.958
13887,22100021,22100021,22100,2210,221,22,0.0,0.0,0.0,0.0,0.41600000000000004,0.0
9221,22100025,22100025,22100,2210,221,22,0.426,1.194,0.0,1.028,0.0,0.18
14601,22100056,22100056,22100,2210,221,22,0.47,0.0,0.396,0.0,0.0,0.264
7821,22101000,22101000,22101,2210,221,22,3.448,4.42,3.93,6.0,5.236000000000001,3.334
14184,22101001,22101001,22101,2210,221,22,6.226,5.093999999999999,1.958,2.058,3.5160000000000005,1.696
8051,22101002,22101002,22101,2210,221,22,0.0,0.0,0.0,0.516,0.54,0.0
14571,22101003,22101003,22101,2210,221,22,0.512,0.0,0.0,0.0,0.0,0.0
7410,22101004,22101004,22101,2210,221,22,0.0,0.062,0.0,0.0,0.08800000000000001,0.0
7989,22101005,22101005,22101,2210,221,22,0.444,0.0,0.0,0.0,0.0,0.0
647,22101006,22101006,22101,2210,221,22,0.154,0.0,0.0,0.0,0.0,0.0
11219,22101008,22101008,22101,2210,221,22,0.262,0.0,0.098,0.0,0.0,0.0
10147,22102000,22102000,22102,2210,221,22,6.758,1.062,2.117,7.878,6.889999999999999,4.256
12988,22102001,22102001,22102,2210,221,22,1.952,0.8640000000000001,1.3679999999999999,0.28,3.354,0.8720000000000001
8175,22102004,22102004,22102,2210,221,22,7.576,5.238,7.026,4.1,3.7459999999999996,0.0
8857,22102005,22102005,22102,2210,221,22,6.736,7.208,18.521999999999995,24.548000000000002,21.193999999999996,3.274
14577,22102006,22102006,22102,2210,221,22,0.8940000000000001,1.234,1.69,2.606,1.398,0.0
9651,22102009,22102009,22102,2210,221,22,0.31,1.294,0.264,0.0,6.297999999999999,3.3560000000000003
141,22102012,22102012,22102,2210,221,22,0.0,0.0,0.0,0.0,0.0,0.79
8373,22102013,22102013,22102,2210,221,22,1.408,0.0,2.596,2.578,2.6559999999999997,2.9
13633,22102014,22102014,22102,2210,221,22,17.850000000000005,12.606,25.2,26.711999999999996,30.964000000000002,18.638
12823,22103000,22103000,22103,2210,221,22,2.96,2.998,0.8959999999999999,0.0,0.0,0.0
10870,22103001,22103001,22103,2210,221,22,2.8120000000000003,1.092,7.85,5.292,7.5600000000000005,2.186
13595,22103003,22103003,22103,2210,221,22,0.318,1.7240000000000002,0.5479999999999999,1.414,0.626,1.096
13115,22103004,22103004,22103,2210,221,22,25.42,9.726,19.554,3.6260000000000003,11.35,4.586
7928,22103005,22103005,22103,2210,221,22,5.932,3.7379999999999995,11.376000000000001,5.412,6.3759999999999994,1.8800000000000001
13404,22103006,22103006,22103,2210,221,22,3.016,1.724,0.0,0.7879999999999999,3.7699999999999996,0.9640000000000001
9169,22103007,22103007,22103,2210,221,22,0.003,0.001,0.001,0.002,0.0,0.0
525,22103008,22103008,22103,2210,221,22,0.0,0.0,0.0,0.0,0.0,1.634
14283,22103009,22103009,22103,2210,221,22,0.0,0.0,0.0,0.0,1.216,0.0
7504,22103010,22103010,22103,2210,221,22,3.6240000000000006,2.108,0.0,4.524,5.802,6.032
