,0,1,2,3,4,5
23110175,2.1159999999999997,2.6000000000000005,1.228,0.0,0.444,0.0
22101000,3.448,4.42,3.93,6.0,5.236000000000001,3.334
22103000,2.96,2.998,0.8959999999999999,0.0,0.0,0.0
22172006,1.0179999999999998,0.76,0.0,0.506,0.252,0.0
22172010,0.638,0.0,0.0,0.0,0.0,0.0
23110006,779.0,515.0,898.0,679.3,75.0,0.0
22711000,4.266,0.442,0.0,0.0,0.0,0.0
22702005,1.006,0.6839999999999999,0.0,0.8700000000000001,0.0,1.736
27410002,14.0,0.0,8.0,14.0,7.0,6.0
22713002,2.54,0.0,0.0,0.0,0.0,0.0
22713007,0.49,0.0,0.0,0.0,0.0,0.0
23131002,0.012000000000000004,0.010000000000000002,0.016000000000000007,0.014000000000000005,0.02000000000000001,0.009000000000000001
22008012,13.196,2.634,13.762,23.125999999999998,7.454,0.304
22007005,4.526,1.3479999999999999,1.118,2.3840000000000003,0.43,0.7240000000000001
27400289,0.5640000000000001,0.274,0.22,0.227,0.093,0.15200000000000002
22103013,1.444,0.48,0.348,0.0,0.606,0.584
23113027,2.0,2.0,1.0,6.0,7.0,10.0
27410045,2.902,1.3379999999999999,1.6179999999999999,0.522,0.27,0.0
22710009,3.4380000000000006,0.0,0.0,0.0,0.0,0.0
22035013,0.001,0.0,0.0,0.0,0.0,0.0
22020001,0.001,0.812,2.416,0.0,0.0,0.0
22180003,1.392,1.3279999999999998,0.36200000000000004,0.0,0.0,0.0
23132061,0.016000000000000007,0.015000000000000006,0.006,0.014000000000000005,0.011000000000000003,0.007
27002167,0.268,0.0,0.52,0.794,1.084,0.784
27410001,10.664000000000001,9.331000000000001,9.331000000000001,15.996000000000002,9.331000000000001,2.6660000000000004
27002194,1.282,1.246,1.1660000000000001,0.506,0.196,1.776
22034000,8.392,9.517,5.58,7.4460000000000015,0.0,0.0
25101011,3.058,1.4619999999999997,4.05,2.99,1.434,1.9319999999999997
27002177,0.502,0.0,0.0,0.172,0.138,0.28800000000000003
27002185,0.44,0.0,0.162,0.0,0.0,0.0
22172005,1.2930000000000001,0.168,0.21000000000000002,0.272,0.0,0.0
27002163,0.354,0.162,0.16,0.0,0.142,0.614
27002169,1.25,0.636,0.5660000000000001,0.448,1.094,0.29600000000000004
22160001,1.46,0.41,0.5720000000000001,0.0,0.0,2.056
25121003,23.155,12.63,2.105,9.368,2.0,2.0
22103006,3.016,1.724,0.0,0.7879999999999999,3.7699999999999996,0.9640000000000001
23110007,72.8,216.0,156.0,132.0,192.0,144.0
27200924,0.02100000000000001,0.017000000000000008,0.01900000000000001,0.02100000000000001,0.02900000000000002,0.01800000000000001
27200941,0.001,0.002,0.0,0.001,0.0,0.0
27000037,0.42200000000000004,0.42200000000000004,0.43,0.34600000000000003,0.0,0.5800000000000001
22701008,1.0339999999999998,0.0,0.278,0.0,0.0,0.0
25121013,0.306,0.268,0.43800000000000006,0.0,0.0,0.41800000000000004
27410042,0.018000000000000006,0.011000000000000003,0.001,0.002,0.001,0.0
27200940,0.762,1.008,0.0,0.0,0.0,0.0
22111004,17.01,4.6819999999999995,14.074000000000002,5.7780000000000005,18.042,6.643999999999999
22012011,15.07,0.0,0.0,0.0,0.0,0.0
22130007,2.602,2.718,2.775,0.73,1.074,0.464
22110003,2.9299999999999997,2.52,0.0,0.43,0.0,0.0
22130000,2.786,7.282000000000001,3.544,0.28600000000000003,0.44199999999999995,1.4000000000000001
22172013,0.32600000000000007,0.034,0.0,0.0,0.0,0.0
22130017,4.542999999999999,2.191,4.15,1.264,0.29000000000000004,0.284
27100542,4.778,4.176,5.744,5.645999999999999,5.738000000000001,7.239999999999998
22503000,386.0,0.632,0.0,0.7,0.0,0.0
27400158,0.068,0.07200000000000001,0.138,0.234,0.0,0.164
27400145,0.238,0.34,0.28600000000000003,0.062,0.178,0.182
27300283,0.454,0.0,0.308,0.0,0.0,0.0
22610002,0.48,1.05,1.3479999999999999,0.0,0.49200000000000005,0.544
22710000,0.888,0.0,0.0,0.0,0.0,0.0
22001038,8.309999999999999,6.178,4.5760000000000005,2.204,2.0060000000000002,1.4659999999999997
27300280,0.35600000000000004,0.974,0.294,0.0,0.0,0.0
23112032,2.0,3.0,4.0,2.0,0.0,1.0
22701000,0.002,0.0,0.0,0.0,0.0,0.268
25120035,6.166,6.2490000000000006,0.0,6.2490000000000006,0.0,0.0
25110012,6.0,6.5,0.0,0.0,2.5,2.0
27002174,1.8980000000000001,0.424,1.304,1.15,0.628,2.4
22010032,0.696,0.0,0.342,0.0,0.345,1.604
22008019,7.411,14.102000000000002,15.004000000000001,10.396999999999998,3.1020000000000003,1.8900000000000001
27300282,0.9140000000000001,0.8360000000000001,0.754,0.604,0.7200000000000001,0.52
27000012,0.414,0.0,0.0,0.0,0.17800000000000002,0.158
27000013,0.358,0.0,0.0,0.366,0.0,0.0
22111012,1.276,0.364,2.5620000000000003,1.422,2.476,4.412
22171004,1.1,0.674,0.734,0.392,1.3860000000000001,1.074
22120028,1.4060000000000001,2.092,1.2320000000000002,0.9,0.0,0.0
22101003,0.512,0.0,0.0,0.0,0.0,0.0
27410044,1.27,0.821,0.544,1.7589999999999997,0.742,1.242
22100025,0.426,1.194,0.0,1.028,0.0,0.18
22840002,0.254,0.23199999999999998,0.0,0.0,0.0,1.382
22103001,2.8120000000000003,1.092,7.85,5.292,7.5600000000000005,2.186
22100010,0.46399999999999997,0.0,2.1759999999999997,4.502,9.002,6.958
25101002,1.534,0.0,3.784,2.364,2.4139999999999997,2.55
27002042,1.514,0.0,0.0,0.0,0.0,0.0
27000019,0.49200000000000005,0.0,0.0,0.0,0.0,0.478
22630013,0.32799999999999996,0.0,0.0,0.0,0.0,1.024
27200925,0.018000000000000002,0.02,0.024,0.036,0.018000000000000002,0.03
22630000,0.562,0.7859999999999999,0.0,1.0,0.7,0.574
22172007,3.9320000000000004,3.5040000000000004,2.16,0.936,1.77,0.638
22102004,7.576,5.238,7.026,4.1,3.7459999999999996,0.0
22111029,2.128,0.23800000000000002,1.292,2.08,0.402,0.298
22710005,0.588,0.0,0.0,0.0,0.0,0.0
27410043,408.0,0.0,0.0,0.0,0.0,0.0
23135028,2.0,0.0,1.0,0.0,1.0,1.0
23135027,1.0,0.0,0.0,0.0,0.0,0.0
27002188,0.5760000000000001,1.37,0.9079999999999999,0.308,1.4140000000000001,2.134
27200938,0.001,0.010000000000000002,0.010000000000000002,0.009000000000000001,0.004,0.013000000000000005
27000201,0.98,0.0,0.0,0.0,0.0,0.0
22020005,5.122,2.264,0.0,0.0,0.0,0.0
25100108,1.346,0.20800000000000002,0.558,1.146,0.308,1.324
22008011,1.984,1.22,1.6740000000000002,0.618,0.0,0.0
22008029,0.001,0.0,0.0,0.0,0.0,0.0
22701020,0.9140000000000001,0.19399999999999998,0.0,0.0,0.0,0.0
22701007,0.342,0.0,0.0,0.0,0.0,0.0
